Name,Authors,Reviews
,Jasmine C.,S P E E C H L E S S ! I have been to many sushi places and this place is one of its own kind. \n\nThe experience was different here. You walk in and there is only a round about bar setting. You sit as if you are in a bar but you order sushi. The sushi is made for you one by one and they hand it to you one at a time. Similar concept to as if you are ordering a drink at the bar and they hand you one drink at a time. \n\nEverything is premium and fresh. Customer service is great. The Sushi Chef was very attentive and he went along with our instagram posts. He smiled on camera when we took pictures of him preparing our food. He was entertaining. \n\nI just hoped the restaurant would be bigger with more seating. There is a higher demand I noticed. My friend and I waited about an hour and a half to get seated. \n\nParking is a mess but there is street parking as well. The food is worth having a struggle with parking.
,Thuong T.,"Three Words: Premium hand rolls.\n\nI love the uniqueness of this Japanese restaurant, specifically brought to you so that you can enjoy a whole new experience of sushi.\nIt is indeed, a very simple dish, and you'd imagine \"
,Jocy C.,"4.5 Stars!!\n\nThis is my first time at a Temaki Bar (specializing in hand rolls)!  J Wata Temaki Bar is currently in soft opening (as of June 2018).  The creator is Junya Watanabe (also the creator of RakiRaki Ramen and Pokirrito Poke).\n\nWe tried the following:\n- Salmon Sashimi\n- Steamed Edamame\n- San Temaki (Blue Crab, Negi Toro, Spicy Salmon)\n- Bay Scallop Standard Roll\n- Maine Lobster Premium Roll\n- Negi Toro Premium Roll\n- Ikura Premium Roll\n- Uni Ikura Premium Roll\n- Ozeki Nigori Sake\n\nLoved the food and freshness overall.  \n#NOMNOMNOM"
,Yoder O.,"Totally blown away by how delicious the food was. I'm giving this place a 5 star although is has some cons but the food and experience was that good.\n\nFood choice: GO x2 (mind-blowingly Delicious)\n\nPros: The hand roll is made fresh right in front of you and served one at a time. It's so freaking delicious that you can't wait for the another one and then another one. The sushi chefs are super friendly and engaging.\n\nCons: The place is small but intimate. We came with a party of 8 and had to be split into 4 groups which was awkward to yell across the room to talk to a friend. The prices are also a bit out of hand but thankfully we came at the grand opening week and got a buy one get one free deal. Lastly, getting the food fresh out of the chef's hand was so unique but also means waiting around for 2 chefs to serve 20 people can be irritating.\n\nOverall: I will be coming back and can't wait to try everything on the menu."
,Catherine F.,"I am a sucker for hand rolls, and being from Los Angeles I have not found that restaurant to give me that fix here in San Diego. \n\nSoft Opening, but was really well put together. The space was all in the middle and for everyone seated to experience and be close to the sushi chef. \n\nFor my Temaki:\n\nI chose the Shi, which included (4) handrolls:\n*Blue Crab\n*Negi Yellowtail- fresh yellowtail and great on the palate.\n*Spicy Tuna- just enough spice\n*Bay Scallop- mayo delicate taste and was one of my favorites\n\nI couldn't resist, and tried from the a la carte as well:\n*Spicy Toro- give me that tuna belly, savory and perfect\n*Uni- it was different with some mint added and tobiko. I enjoyed this handroll the most!\n\nEach Nori is toasted before preparing each handroll, so your handroll is handed to you by the chef each time warm and ready to eat. \n\nI would definitely come back!\n\nStaff- attentive and management as well \nParking- it's Convoy/Kearny Mesa parking at all those plaza's equals patience."
,David L.,"3.43 stars. Its decent, but not for enough that I want to round up to 4 stars. I think if you've had KazuNori in LA before, this experience will fall short. But if you haven't, it should be fine. The fish is fresh enough and the seaweed is toasted, which is unique. The rolls aren't very filling though and the wait time is a little ridiculous. The second time I went, it was an hour wait. Totally not worth it, so I went around the corner for a sushi burrito instead. Twice as filling, half the price, and zero wait. I'd wait maybe 25 minutes for this place tops. Even then, I don't think I'd pay the $20 some dollars for the set menus. It's missing something, I just can't place it."
,Dung N.,It was a spontaneous Friday night and we decided to do our last pit stop here to check out their soft opening phase. My friends ordered the \
,Saleen D.,"If you love hand rolls, J Wata Temaki Bar is your place!\n\nThis is owned by the same owners as RakiRaki \u0026 it is just a few doors down from it.  Very busy parking lot!  Save your car from getting a ding by parking on the street!\n\nVery friendly \u0026 attentive customer service!  I love the restaurant's style: a large, hollow square table with the chefs in the middle, seating around the perimeter, \u0026 beautiful art on the walls.  On top of that, the hand rolls are phenomenal!\n\nI came hungry \u0026 tried the following.  All were superb, with my favorites being the Blue Crab, Spicy Salmon, Spicy Toro.\n\nNegi Salmon\nSpicy Salmon\nBlue Crab\nSpicy Toro\nUnagi\nWagyu Shabu"
,Julie N.,"Wow, if I wasn't a struggling college student, you would 100% see me here every week. I came in on a Friday around 5ish with my friend. My friend and I wanted to get Cauldron, but we wanted to get something small and savory before we got ice cream. \n\nWe saw that J/Wata was open so we went to try it out. This place only serves hand rolls and the menu is small, but boy did everything sound amazing. Hand rolls were around $5-6 per roll, a little on the pricey side but for the fresh ingredients, I totally understand why. \n\nMy friend and I just wanted 1 roll each because something savory for our taste buds was all we wanted. I got the negi toro and she got the avo/wasabi/mayo. The chef prepares it right in front of you and personally gives you the hand roll. The roll was so flavorful with really great ingredients, you can taste how fresh it was. I'm not even a fan of mayo or wasabi, and the avo wasabi mayo roll was so good. \n\nStaff members and the chef were super nice and welcoming! I can't wait to return, but definitely with my mom or dad next time!"
,Sandra S.,"My friend and I came at around 10:45am during the soft opening, and there wasn't a wait, plus plenty of parking in the notoriously difficult parking lot that the restaurant is located in. The restaurant is very small, with about twenty seats at a sushi counter top. In the middle, the chefs make the hand rolls, while people sit around the sushi bar. \n\nI was somewhat skeptical of how good a hand roll could be, but to my surprise, the experience was very good. We went for the four-piece hand roll set that came with spicy salmon, scallops, yellowtail, and blue crab. My favorite of the four was yellowtail, since it was the sashimi in its pure form without any additional toppings or add ins. The scallop and blue crab rolls had fillings mixed with a mayonnaise type of sauce, and the spicy salmon was only mildly spicy.\n\nThe rice was soft and well seasoned, and the nori was crispy and warm. The cool fish contrasted well with the warm rice and nori, and I highly recommend eating it the second the chef hands it to you! The service was also very good, and the waitress was very attentive of our needs throughout the dining experience. I feel like this place will get busy really soon, so I would recommend coming early or before it opens to ensure a spot. Also, this restaurant isn't too good for large crowds, but it's perfect for a 2-3 people lunch date."
,Curtis T.,"We were trying to get into Kura Robota Sushi Bar. After waiting for 45 minutes, we did a Yelp search and found J Wata Temaki Bar. This is a new restaurant in an area that is packed with Chinese, Korean, Thai, and Japanese restaurants. There are no tables, but only sushi counters. The restaurant primarily serves rolls. There are specialty rolls from 3 (San) to 5 (Go). The Go is the best \"
,Ashley D.,"I was ecstatic to see a hand roll place pop up in SD as I have been wanting to try Kazunori in LA but have never gotten the chance to. This small store is opened by the owner of Pokerito and Raki Raki, so you can bet its located right in the same plaza. \n\nA friend and I came at 11 before grand opening and we were the only party eating except one other party. We went with the Shi ($16.95) that came with 4 handrolls. Each one was prepared right in front of us. It was fascinating watching the chef crisp up the nori over the fire and roll each hand roll carefully. You really do have to eat each one fast as if not, the seaweed gets soggy and the rest of the rice and fish can fall out of the end of the roll. The warm rice is one of my favorite about this place and places like Sugarfish. If you have not tried sushi with warm rice and it sounds odd to you, try it here! It is amazing. My favorite roll was the yellowtail one as it was the lightest and most natural in flavor. \n\nBecause it was only in soft opening, I had very low expectations and was not expecting to be impressed by anything here. However, I was pleasantly surprised. The fish tasted fresh and the warm rice and crispy combination was great. I don't know if I would come back any time soon as the wait will probably tremendous, but its a great experience to have at least once."
,Johnny N.,The \
,Alanna C.,"Came here for the BOGO grand opening event. The wait was around 25 min to get seated ( there are only around 25 or so seats- would be difficult for large parties). \n\nSushi is always on the expensive side... and this place is no exception, each hand roll is around $4-$5. And around 4 bites in size. It was nice they were having the BOGO otherwise this restaurant would be slightly out of my price range. \n\nThe service was quick, after ordering (shi and go sets) it took about 7 min for the chef to greet us and then another 3-4 min to get our roll. Their style is to serve one roll at a time for ultimate freshness. Between each roll there was a 3-4 min wait for the next. \n\nMy favorites were the lobster (very tender and the crunch of the seaweed added texture to the lobster) and the blue crab. The scallops had too much mayonnaise for me. I also enjoyed the spicy salmon.\n\nThe concept of this place is innovative and new so I feel like that will attract people even if the food is pricey and parking is somewhat difficult. \n\nI would probably be back if they had another deal just on pricey side for me although the food is delicious and atmosphere is nice!"
,Emmett T.,"I had been waiting for this place to open when I first heard about it last year. It's a small, chic bar that seats roughly 20 people so I guess I was fortunate when I arrived as only about half the spots were occupied. I parked a couple of blocks away and walked over since I knew it would be a crap shoot trying to find a space in that plaza.\n\nAfter you are seated, the server explains how to order the hand rolls from the menu sheet. You mark what you want and then hand the slip to him/her who then informs the chefs behind the bar on what to make. The best value comes from ordering one of the three preset options. I chose the Go ($21.75) which came as five rolls: Blue Crab, Spicy Toro, Negi Salmon, Bay Scallop, Maine Lobster. I also picked a Wagyu Shabu roll ($7.75) a la carte.\n\nI liked how the chefs took each piece of nori and warmed it to a crisp over a gas flame before adding the ingredients. Each roll came out cylindrical in shape (instead of conical like at most Japanese restaurants) and was handed to you individually as the chef finished wrapping it. All the components tasted very fresh. My favorite of the ones I tried was the bay scallop.\n\nThe a la carte prices were pretty reasonable as I normally see hand rolls selling between $4 and $5 apiece. All the regular temaki were priced less than $5 while the premium temaki ranged from $5.75 to $7.75. They are currently in their soft opening for the remainder of this week. The plan is to go to their full operating hours early next week according to one of the managers who checked up on me before and after my meal."
,Christopher L.,"Temaki is a concept that is new to me personally and honestly I enjoyed it. \n\nWe went for their grand opening event where it was buy one set menu, get one free which was a great deal! \n\nWe were seated right way when the place opened and were told about how their restaurant system works. After ordering our set menu, a chef would make our rolls and literally hand it to us one by one. They suggested we eat it right away to get the full effect of the roasted seaweed texture along with whatever filling we got. \n\nWe got the Go set menu which everything was pretty tasty. They use this sweet cream sauce to mix their fish in which complimented the crab, lobster, and scallops really well. I can imagine for the seafood connoisseurs though that they would feel like the cream over powered the actual meat but whatever.  The scallop to me was amazing. It's individual sweetness came through perfectly. The roasted seaweed wrap had a perfect crunch, something I've never experienced before. I guess the fact that it is roasted seconds before it is served to you really makes a difference. \n\nThe vibe I got from the restaurant was pretty cool. It was like modern and classic japanese decor infused together. \n\nThe whole meal experience was laid back and gave you the opportunity to relax and chat with whoever you're eating with. Don't expect a quick meal especially if there are a lot of people being served. The rolls came every few minutes which allowed me to savor each bit and get all the flavors. \n\nI recommend coming here to give it a try and see if you like it!"
,Lori T.,"Came in during their soft opening and I'll start by saying that I'm looking forward to seeing their menu expand because everything that we ordered was good.\n\nThe hand rolls are made fresh one at a time in front of you and it's best to eat them right away to maintain the fresh crunch of the seaweed. My mistake was taking my time in snapping pics of my first few handrolls haha. The blue crab and scallop rolls were my favorite - the blue crab was slightly sweet and the meat was refreshing, light, and fresh by the smell of it. The scallop was just the same - slightly sweet with a clean aftertaste and texture. The salmon and hamachi sashimi were both served with just the right amount of accompanying ponzu and wasabi and the slices were fresh. My rec is to go for the \"
,Lydia T.,"I love when an establishment sticks to one thing and does it well! J Wata is the spot for yummy small handrolls with crisp seaweed. OMG.\n\nIt's just a small u-shaped bar, modern and intimate. \nThe miso was tasty! \n\nWe selected the \"
,Ryan L.,"Went with a friend for the grand opening event. The atmosphere was pretty cool. I liked the art on the walls, music, and lighting. Service was ok. \n\nWe were seated in these lower seats in the dining area which were kind of secluded. It was  out of the way so we couldn't see the sushi chef making stuff and he would only briefly come over to give us our rolls. We could also see the trash behind the counter and the guy bussing dirty dishes was coming right in front of us.\n\nThe menu has sets of handrolls that go from 3, 4, or 5 rolls or vegetarian as well as a la carte rolls, appetizers, etc. \n\nWe got the \"
,Marika D.,"Man, I had such high expectations for this place being an avid consumer of seafood and Japanese cuisine. But it really did not live up to it in the slightest bit. \n\nFor a place that specializes in hand rolls, they sure make a sloppy one. It's very hard to eat without them falling apart. I do like that they warm up the seaweed and that it has a nice crunch. But inside the nori is 75% rice. Very little seafood, which wouldn't be an issue if the price was affordable. But these are expensive handrolls at $5-10 each. \n\nThe San, which included Negi Toro, Spicy Salmon \u0026 Blue Crab, was very unsatisfying. They were all so heavily marinated that you couldn't taste the fish itself. Especially the crab was more mayo tasting than anything.\n\nWe also ordered the hamachi sashimi to get a change from all the rice. Yellowtail is my favorite fish, and I find that it is usually good even at mediocre sushi spots. But this one was actually pretty bad.  It was served room temperature and the texture tasted somewhat dry. This confirmed to me that the fish they use here is not the freshest and highest of quality. \n\nIn my opinion, they need to source better seafood and use less sauce/rice, or reduce their prices to match the quality. \n\n+1 star for the ambiance\n+1 for the concept"
,Rammy C.,"The wait is worth it. If you're a major sashimi fan and love handrolls this place is amazing. Handrolls come as you finish so that you get them fresh and enjoy the full flavors of the fish and toasted nori. The negi toro, scallops, blue crab and waygu are the best. Order a lot cuz you'll want more. \n\nAnd chef Brian was so great to us."
,Adrienne A.,"Oh man, where do I begin? \n\nEverything I had was DELICIOUS! *****\n\nSpicy Salmon- Perfect!\n\nSpicy Toro- Perfect! \n\nThe Blue Crab was my favorite :) \n\nI had no warning before I bit into the Uni special... my mouth went on a journey through the universe. So many flavors~\n\nThanking my lucky stars !! I was given fresh raw wasabi... I ate all of it. I think it got me high :D just kidding, I know it did!!! \nEven the wasabi you are normally given here was the best I've ever had, as well as the ginger.\n\nThe Chefs oh ma gaaaaaaaaaaaaaa GORGEOUS!!! Faints :) \n\nBig crazy parking lot!!!!! I will avoid places if parking is to difficult, but for this? For this I will fight! I will take you DOWWWN!!! LoL \n\nFantastic service! Great decor to stare at after you're high from the wasabi and delicious food :D \n\nNice restrooms! \n\nSee you in my dreams!"
,Steve H.,"Soft opening as of 7/7, so menu may change.\n\nIt's in the TightParKing Stripmall with RakiRaki.  Don't even try..  street park three blocks away and walk.\n\nThis place is all bar seating, one big U shape.  This makes the service personal and direct.  Friendly, fresh, and.. uniquely human.  The chef makes each handroll and hands it to you directly.  Pacing is up to you.  Very nice, and an easy place to dine solo or small parties.\n\nI went with the midsize 4-roll combo.  No substitutions, but cheaper than the same rolls individually.\n\nI'd call it lunch-sized..  you won't leave stuffed or starving.  These are open ended rolls, not the more common conical ones.  It's just rice and mixed fish ingredients, fresh, but without the greens and garnishes you might be expecting.\n\nThe flavors were good, but the hand roll format just doesn't floor me.  It's smaller than a sushi roll, and more seaweed-shell/nori than regular nigiri sushi.  The contents are good, but get a bit overshadowed in all that crunch and wrap, especially near the ends.\n\nBest value on the menu was the hamachi sashimi, with jalapeno slices.  Very fresh thick slices, artfully arranged.  I would get that again.\n\nIced green tea was just a UCC can, not the fresh matcha you get at Ken's.  Wasabi was really weak, just vanished.  Value was a bit on the expensive side, especially compared to Pokeritto next door.\n\nService was very helpful and friendly, but this one-format menu might not be for everyone.  Five stars for service and novelty, but I think once was enough for me."
,Alexa O.,"Best Temaki I've had. The fish was fresh, the seaweed was warm \u0026 not dry, the rice was warm \u0026 not dry. Highly recommend! I tried the negi salmon, spicy salmon, unagi (eel) my personal favorite, yellowtail, Maine lobster, scallops, spicy tuna \u0026 all were amazing! \n\nI'd only come here solo or with 1 other person, definitely not good for children.  The place is super small \u0026 only seats a handful around 1 entire table/bar in the whole place. Food comes out 1 item you order at a time, it's nice to pace yourself \u0026 really enjoy it."
,Sang P.,Came here around 11:15 AM on a weekday. The place was about 30% full. I ordered the \
,Jessica S.,"Traditionally, temaki is made from leftovers and packed as a lunch, SO only in America will you see it offered in a restaurant and as an exotic, high-end dinner item. This 'bar' serves temaki strictly; seating is very limited. Typically, temaki is cone-shaped, but this restaurant and others have been going with the super hip 'rolled taco' version. Nori is held over a flame to warm and crisp it, then the rice is packed in with the protein on top. It is rolled by your chef and handed to you on the spot. \n\nWe came during the soft opening, so there wasn't much of a wait just before 6pm hit. Options at the time offered 3 set menus and some items a la carte. A little irked that the set menus included a little disclaimer of 'no sharing'. Who the hell are they to tell me how to eat MY food that I paid for!? Anyways, I went for *Shi* which included blue crab, negi yellowtail, spicy salmon, and bay scallop for $16.75. Sound a bit pricey? Indeed it is and you won't feel full after 4. I did mightily enjoyed the bay scallops the most though -- such a pop of freshness with the creamy mayo serving as a marinade. The others options were alright. Most seemed to rely heavily on the marinade. In that respect I did enjoy the *wagyu shabu* which I did have to order a la carte for a $7.75! This did not have a marinade and you were able to enjoy the lusciousness of the meat itself. The offering of wagyu was small and because of that I don't believe the $7.75 was a fair price. I wasn't a fan of the *negi toro* as it had a funny texture since it was a bit mashed up. I guess that's how it normally is so it does take some getting used to. \n\nNori was ever so slightly warm and it maybe offered a little crunch. Rice was ON POINT though. In addition to the freshness of the fish, the rice is definitely another important component and they make it right here; moist, but firm. \n\nI am fairly certain the owner of RakiRaki will kill it though since there is nothing like this San Diego. I have a love-hate relationship with the man, but he offered a polished menu in a very well thought out and aesthetically pleasing restaurant. Congratulations on capitalizing on the next cool concept Junya Watanabe!"
,Sherilyn R.,For everyone wondering if this place is as good as Kazunori in LA - it is. Maybe even a little better.\n\nI got the \
,Isabella B.,"After the successes of RakiRaki and Pokiritto chef-owner Junya Watanabe has launched another restaurant concept - this time focusing on temaki (hand rolls). While there are plenty of sushi places that serve rolls or nigiri, not a lot of restaurants even offer temaki on the menu, much less exclusively serve them. Before this restaurant existed I could only get good handrolls from the famous Sugarfish as part of their set menu. At least now I don't have to go that far for temaki.\n\nLOCATION: Convoy/Kearny Mesa in the same complex as the original Rakiraki and Pokiritto. As with any other restaurant in that area, parking situation's awful but at least this is my only negative critique about the restaurant.\n\nVENUE: The restaurant's pretty small. A central sushi bar seats 22. Three to four chefs toast the nori in these special clay pots that contain the flame. \n\nSERVICE: Friendly service. Hostess kept on asking us how our experience was. \nThe temaki is assembled right in front of you; they toast the nori, scoop the rice and fish, roll it and hand it to you. No need for chopsticks and oshibori is provided to wipe your hands before touching the sushi.\n\nOur party chose from a set menu. My mom also included salmon sashimi ($7.25) as well as an additional negi yellowtail temaki ($4.75). Salmon sashimi was fresh. Didn't need so much sesame and soy sauce.\n\nSet Menu - Go [5] ($21.75)\nThere is a progression in the seafood that goes from the lightest to the heaviest.\n1. Maine Lobster: the lightest temaki, as it should be. The lobster is already diluted with rice. They use a good quality lobster for this roll.\n2. Spicy Toro: Salmon and tuna have both a spicy and a negi variation. The fish is pounded until the final product resembles cat food. There is enough hotness for it to be noticeable but not too much that it takes over the fish.\n3. Negi Salmon: The negi in this case refers to green onion. In this case it lessens the fishy flavor. Since I'm not served the fatty parts of the fish I like #2 and #3 equally.\n4. Bay Scallop: The bay scallop has mayonnaise in it and served warm. Final product is still quite delicious.\n5. Blue Crab: Lots of good crab meat. Though I prefer Sugarfish's version, the blue crab is still fresh.\nRice - Sushi-grade rice cooked in a small batch technique seasoned with 3 types of vinegar.\nNori - Gold labeled seaweed sourced from Yamamotoyama\n\nMy parents and I came during their soft opening. We were pretty impressed with our experience in terms of quality of food and service. I could see this restaurant ending up in our regular rotation for places to go out, especially as good Japanese food is hard to find. Just bear the parking."
,Kyle C.,"Kept the expectations really low walking in but wanted to see if toasted seaweed was really worth it. Seated in the observation booth and started out with the hamachi yellow tail sashimi. Fresh and fatty. The ponzu sauce and jalape\u00f1o over it was really good. Ended up getting the 4 course: blue crab, yellow tail, bay scallop and salmon. Honestly seeing them toast the seaweed and presenting it to you was a one of a kind experience. Not to sound like a effing snob but fuck that was delicious. The rice, with the freshness of the seafood and the crunch of the seaweed. The best hand rolls hands down. A beer, the sashimi and 4 rolls ran me $30. Came 40 minutes after open and not that crowded. Not sure how the wait would be during rush but still pretty good. \n\nThis is quality over quantity so I wouldn't expect to get full but who wants to feel like shit after eating high quality sushi. \n\nMy chef and another patron found out we were from the 562 as well so the experience of meeting familiar people was nice. Ask for James for your chef!"
,Jannie T.,"The whole experience was very underwhelming for me. Service was decent, I wasn't too happy that I had to ask my chef almost each time what handroll he was serving me. He would put it in my hand and walk away without saying anything. The idea of the nori being crispy sounds cool but parts of the nori would sometimes get stuck to the roof of my mouth. I really liked bay scallops and the blue crab hand rolls. I ordered the ikura and uni handroll and was NOT thrilled there was a mint (?) leaf in there! It overtook the flavor of the ikura and uni. Sigh :(\n\nGlad I came here for the BOGO set offer. I don't think I'll be back. Handrolls were 3.5/5 stars good but not worth the size and price I'm paying for."
,Walter M.,"First things first, the price will probably give pause to many \"
,Candice L.,"I mean, wow! First of all, great service and the was very friendly! I came for a BOGO promotion during their grand opening so there was a bit of a line but well worth it! I got the GO option which has Maine Lobster included, my fav! The soy was is double fermented (bomb) and the wasabi wasn't that fake stuff.  Not a huge spicy tuna fan but this wasn't the best spicy tuna I've ever had! It was FRESH! Must come here for some hand-rolls!  A bit on the smaller side, but he beat quality."
,Christine T.,My family wanted to go here while they were visiting me a few weeks ago because there aren't any good hand roll bars in OC. We ordered the Go set menu as well as the waygu shabu and uni hand rolls. Everything was delicious and fresh. They even have real wasabi which is a major plus! \n\nParking can kind of be crazy in this plaza like many places on Convoy.
,Adrienne V.,"I'm definitely one that likes a lot of choices but the simplicity of their menu does not take away from the delicious quality of their food. It's not your typical sushi spot with a ton of different rolls and as I'm sure you know by now, they specialize in Temaki aka hand rolls. I still enjoy crazy over the top rolls from time to time but I feel like with sushi, the simpler the better so that you can really taste and appreciate the ingredients. You can order in \"
,Cindy T.,"This was such a nice place! A co-worker and I went on the Friday before the Grand Opening and I tried the Go (5). This experience was really interesting because there is a chef in the center of the restaurant making your rolls as you eat them. They hand them directly into your hands and makes them on the spot! My favorite roll was the Bay Scallop, which was so fresh with the warm sushi rice and mixed in some kind of mayo sauce. Every roll is light and refreshing. I would say 5 was just enough to feel satisfied and not bloated. \n\nThe menu is set and be careful if you have seafood allergies. The restaurant is a bit small and has maybe about 15-20 seats around in a bar setting!"
,Maria P.,\
,Claire D.,"Very happy that San Diego now has a temaki bar! Ever since I went to Kazunori in LA I was hoping we would get one. They are still in their soft opening so the hours aren't set. They would be an ideal quick but delicious (and pricey) lunch, although parking might take too long to visit on a standard lunch break. Really, that parking lot is insane. And some times you can't even find anything 2 blocks on the street in any direction! Anyway...\n\nThe menu is simple and the quality of the food is good. The only problem I had is that the rolls kind of fell apart a bit. If you tried to turn it anything but vertical rice fell into the soy. If you held it vertical and took a bite, rice fell out the bottom. Maybe this is something they could fix in the future. My husband and I got 4 handrolls each and it was a $40 lunch without tip. The freshly crisped nori makes it so good though. I like it and hope to come back soon."
,Yoav L.,I've been waiting for this place to open for a while. So fresh and so good. \nEvery single thing in the menu is top notch and won't disappoint. \nThe only problem I see is that price for lunch per person will be around $30 which is kinda of pricey even tough it's super fresh and tasty.
,Myphuong L.,TIP: Do not come starving. You will leave disappointed and still hungry then make your way down to Caldron to fill yourself on the puffle like we did. I would consider this a snack or delicate meal.\n\nCame here at 6:30pm during soft opening (6/10/) and the place had three others seated. Which was a bit awkward when literally everyone can hear your conversations due to the confined space. Especially the chef directly in front of you.\n\nWe were told each roll was crafted carefully and recommended to be eaten as soon as it was handed to you. That's exactly what we did. It was so good that I forgot to take photos! We ordered the 4 roll set menu and the scallop was my number one but they were all delicious.
